date,region,course,course_detail,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,surface,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2025-01-05,JPN,Chukyo,,06:30,Sports Nippon Sho Kyoto Kimpai Handicap) (4yo+) (Turf),Flat,Class 1,Grade 3,,4yo+,,1m,8f,1600,Good To Firm,Turf,16,7,1,7,0,0,Sakura Toujours (JPN),8,G,128,,1:33.50,93.50,12.00,Rachel King,Noriyuki Hori,221528.77,–,–,Neo Universe (JPN),Sakura Reine (JPN),Symboli Kris S,Sakura Commerce Co Ltd,
2025-01-05,JPN,Chukyo,,06:30,Sports Nippon Sho Kyoto Kimpai Handicap) (4yo+) (Turf),Flat,Class 1,Grade 3,,4yo+,,1m,8f,1600,Good To Firm,Turf,16,16,2,16,0.3,0.3,Water Licht (JPN),4,C,126,,1:33.55,93.55,6.90,Hironobu Tanabe,Hiroshi Kawachi,87253.51,–,–,Drefong (USA),Water Peony (JPN),Victoire Pisa,Masato Yamaoka,
2025-01-05,JPN,Chukyo,,06:30,Sports Nippon Sho Kyoto Kimpai Handicap) (4yo+) (Turf),Flat,Class 1,Grade 3,,4yo+,,1m,8f,1600,Good To Firm,Turf,16,1,3,1,.5,0.3,Logi Leon (JPN),4,C,126,,1:33.58,93.58,5.20,Kosei Miura,Masaaki Koga,56332.59,–,–,Leontes (JPN),B B Barrel (JPN),Pyro,Masaaki Kumeta,
2025-01-05,JPN,Chukyo,,06:30,Sports Nippon Sho Kyoto Kimpai Handicap) (4yo+) (Turf),Flat,Class 1,Grade 3,,4yo+,,1m,8f,1600,Good To Firm,Turf,16,2,4,2,1.5,1,Theo (JPN),5,H,126,,1:33.75,93.75,15.60,Taisei Danno,Hiroyuki Uemura,27444.60,–,–,Spielberg (JPN),Lulla (GB),Oasis Dream,Chizu Yoshida,
2025-01-05,JPN,Chukyo,,06:30,Sports Nippon Sho Kyoto Kimpai Handicap) (4yo+) (Turf),Flat,Class 1,Grade 3,,4yo+,,1m,8f,1600,Good To Firm,Turf,16,5,4,5,1.5,0,Ask Konnamonda (JPN),6,H,127,,1:33.75,93.75,7.30,Aurelien Lemaitre,Mitsumasa Nakauchida,27444.60,–,–,Daiwa Major (JPN),Anna Monda (GER),Monsun,Hirosaki Toshihiro Hd Co Ltd,
2025-01-05,JPN,Chukyo,,06:30,Sports Nippon Sho Kyoto Kimpai Handicap) (4yo+) (Turf),Flat,Class 1,Grade 3,,4yo+,,1m,8f,1600,Good To Firm,Turf,16,9,6,9,2.5,1,Shadow Fury (JPN),5,H,126,,1:33.92,93.92,3.90,Yuga Kawada,Haruki Sugiyama,,–,–,Isla Bonita (JPN),Cozi Rosie (USA),Pleasantly Perfect,Tomokazu Iizuka,
2025-01-05,JPN,Chukyo,,06:30,Sports Nippon Sho Kyoto Kimpai Handicap) (4yo+) (Turf),Flat,Class 1,Grade 3,,4yo+,,1m,8f,1600,Good To Firm,Turf,16,3,7,3,2.75,0.2,Schwarz Kaiser (IRE),7,G,126,,1:33.99,93.99,50.00,Mirai Iwata,Masahiro Otake,,–,–,Dark Angel (IRE),Fashionable (GB),Nashwan,Godolphin,Midfield on inner - ridden and headway from 2f out - edged right and driven 1 1/2f out - kept on inside final furlong - not pace of leaders
2025-01-05,JPN,Chukyo,,06:30,Sports Nippon Sho Kyoto Kimpai Handicap) (4yo+) (Turf),Flat,Class 1,Grade 3,,4yo+,,1m,8f,1600,Good To Firm,Turf,16,6,8,6,4.25,1.5,Matenro Orion (JPN),6,H,123,,1:34.21,94.21,45.00,Yoshihiro Furukawa,Mitsugu Kon,,–,–,Daiwa Major (JPN),Parthenon (JPN),King Kamehameha,Chiyono Terada,
2025-01-05,JPN,Chukyo,,06:30,Sports Nippon Sho Kyoto Kimpai Handicap) (4yo+) (Turf),Flat,Class 1,Grade 3,,4yo+,,1m,8f,1600,Good To Firm,Turf,16,11,9,11,6.75,2.5,Corepetiteur (JPN),5,G,126,,1:34.62,94.62,162.00,Yuichiro Shibata,Kazuya Nakatake,,–,–,Just A Way (JPN),Vegas Night (USA),Coronados Quest,Makoto Kato,
2025-01-05,JPN,Chukyo,,06:30,Sports Nippon Sho Kyoto Kimpai Handicap) (4yo+) (Turf),Flat,Class 1,Grade 3,,4yo+,,1m,8f,1600,Good To Firm,Turf,16,14,10,14,8.25,1.5,Meisho Titan (JPN),8,H,126,,1:34.88,94.88,121.00,Norihiro Yokoyama,Masaru Honda,,–,–,Lord Kanaloa (JPN),LArtista (JPN),Meiner Love,Yoshio Matsumoto,
